"","loc","lon","lat"
"162","Elk Rapids , MI",-85.4164605,44.8955578
"163","Mesa , AZ",-111.8314724,33.4151843
"164","El Paso , TX",-106.4850217,31.7618778
"165","Providence , RI",-71.4128343,41.8239891
"166","Etna , PA",-79.9489413,40.5042354
"167","Valhalla , NY",-73.7751326,41.0748188
"168","Mount Vernon , NY",-73.8370786,40.9125992
"169","Greensboro , NC",-79.7919754,36.0726354
"170","Venice , OH",-82.8855961,41.0413536
"171","Avon , OH",-82.0354225,41.4517093
"172","Ashley , MI",-84.4744347,43.186696
"173","Pearl , IL",-90.6259588,39.4597701
"174","Goldsboro , NC",-77.9927651,35.3848841
"175","Detroit , MI",-83.0457538,42.331427
"176","Ashley , PA",-75.8965859,41.2103599
"177","Tampa , FL",-82.4571776,27.950575
"178","Coral Gables , FL",-80.2635411,25.7491968
"179","West Palm Beach , FL",-80.0533746,26.7153424
"180","Jasper , TX",-93.9965759,30.9201995
"181","Passaic , NJ",-74.1284764,40.8567662
"182","San Pedro , CA",-118.2922461,33.7360619
"183","Visalia , CA",-119.2920585,36.3302284
"184","Abington , PA",-75.1195107,40.1240795
"185","Beaumont , TX",-94.1265562,30.080174
"186","Fullerton , CA",-117.9242123,33.8703645
"187","Warren , OH",-80.8184166,41.2375569
"188","Vancouver , WA",-122.6760886,45.6257379
"189","Coatesville , PA",-75.8238355,39.9831616
"190","Gainesville , GA",-83.8240663,34.2978794
"191","Lancaster , OH",-82.5993294,39.7136754
"192","Bremerton , WA",-122.6269768,47.5650067
"193","Boston , MA",-71.0588801,42.3600825
"194","East Chicago , IN",-87.4547635,41.6392024
"195","Portsmouth , VA",-76.2982742,36.8354258
"196","Tucson , AZ",-110.9747108,32.2226066
"197","Midland , TX",-102.0779146,31.9973456
"198","Thousand Oaks , CA",-118.8375937,34.1705609
"199","Westbury , NY",-73.5876273,40.7556561
"200","Wichita Falls , TX",-98.4933873,33.9137085
"201","Quincy , CA",-120.9471764,39.9368363
"202","Washington , DC",-77.0368707,38.9071923
"203","Chester , PA",-75.3557457,39.849557
"204","Louisville , KY",-85.7584557,38.2526647
"205","Kearney , NE",-99.0816784,40.6993303
"206","Maple City , KS",-96.7683629,37.0558643
"207","Calahan , NC",-78.5674863,33.890489
"208","North East , MD",-75.9413327,39.6001132
"209","Danville , IL",-87.6300207,40.124481
"210","St. Paul , MN",-93.0899578,44.9537029
"211","Somerset , KY",-84.6041084,37.0920222
"212","Florence , SC",-79.7625625,34.1954331
"213","Maywood , CA",-118.185349,33.9866807
"214","Portland , OR",-122.6750261,45.5051064
"215","Austin , TX",-97.7430608,30.267153
"216","Lawton , IA",-96.1839121,42.4786037
"217","Inglewood , CA",-118.3531311,33.9616801
"218","Everett , WA",-122.2020795,47.9789848
"219","Corvallis , OR",-123.2620435,44.5645659
"220","Bridgewater , SD",-97.507566,43.5516489
"221","Geneva , IL",-88.3287896,41.8926437
"222","Lillian , TX",-97.1875113,32.5065277
"223","Miami , FL",-80.1917902,25.7616798
"224","Woodland , CA",-121.7732971,38.6785157
"225","Dunedin , FL",-82.7717684,28.0197404
"226","Painesville , OH",-81.245657,41.7244885
"227","Greenwood , SC",-82.1617883,34.1954001
"228","Jeffersonville , IN",-85.7371847,38.2775702
"229","Lafayette , LA",-92.0198427,30.2240897
"230","Burbank , OK",-96.7319763,36.6950404
"231","Dora , AL",-87.0902772,33.728717
"232","Shelburne Falls , MA",-72.7392588,42.6042514
"233","Brockton , MA",-71.0183787,42.0834335
"234","Monterey Park , CA",-118.1228476,34.0625106
"235","Glendale , CA",-118.255075,34.1425078
"236","Pembroke , NC",-79.1950373,34.6801626
"237","Santa Monica , CA",-118.4911912,34.0194543
"238","Redlands , CA",-117.1825381,34.0555693
"239","Washington , MI",-83.0576156,42.7509332
"240","Columbus , OH",-82.9987942,39.9611755
"241","Baltimore , MD",-76.6121893,39.2903848
"242","Fort Pierce , FL",-80.3256056,27.4467056
"243","Glenwood , IL",-87.6022658,41.5425349
"244","Stoneham , MA",-71.0999719,42.4802469
"245","Marshalltown , IA",-92.9080375,42.0494674
"246","Hokendauqua , PA",-75.4910167,40.6620411
"247","Brooklyn , NY",-73.9441579,40.6781784
"248","Memphis , TN",-90.0489801,35.1495343
"249","Rochester , NY",-77.6088465,43.1565779
"250","Peabody , MA",-70.9286609,42.5278731
"251","Lancaster , CA",-118.1541632,34.6867846
"252","Arlington , TX",-97.1080656,32.735687
"253","Terryville , CT",-73.0109393,41.6781533
"254","High Point , NC",-80.0053176,35.9556923
"255","Raleigh , NC",-78.6381787,35.7795897
"256","Johnson City , TN",-82.3534727,36.3134397
"257","Max Meadows , VA",-80.9495251,36.9703976
"258","Nashville , TN",-86.7816016,36.1626638
"259","Mount Vernon , OH",-82.4857181,40.3933956
"260","Mamou , LA",-92.4192993,30.6338092
"261","Santa Cruz , CA",-122.0307963,36.9741171
"262","Newport Beach , CA",-117.9298493,33.6188829
"263","Manchester , MO",-90.5092882,38.5969977
"264","Elmhurst , CA",-121.4441895,38.5535413
"265","Wayne , MI",-83.3863214,42.2814269
"266","Liverpool , OH",-80.6049374,40.6414894
"267","Beirne , AR",-93.2040588,33.8887161
"268","Homestead , PA",-79.9119948,40.4059025
"269","Orange , NJ",-74.2326478,40.7706187
"270","East Claridon , OH",-81.115654,41.5325528
"271","Englewood , NJ",-73.9726381,40.8928771
"272","Glen Cove , NY",-73.6337389,40.8623217
"273","New Bern , NC",-77.0441143,35.108493
"274","South Bend , IN",-86.2519898,41.6763545
"275","Fremont , OH",-83.1218634,41.3503303
"276","Middletown , CT",-72.6506488,41.5623209
"277","Dearborn , MI",-83.1763145,42.3222599
"278","Lexington , KY",-84.5037164,38.0405837
"279","Superior , WI",-92.1040796,46.7207737
"280","Beverly , IL",-87.6761796,41.7171204
"281","Sacramento , CA",-121.4943996,38.5815719
"282","Auburn , NY",-76.5660529,42.9317335
"283","Fresno , CA",-119.7871247,36.7377981
"284","Concord , MA",-71.3489484,42.4603719
"285","St. Charles , MO",-90.4974359,38.7881062
"286","Tilden , NE",-97.8339503,42.0472285
"287","Kansas City , MO",-94.5785667,39.0997265
"288","Lakeland , FL",-81.9498042,28.0394654
"289","Anmoore , WV",-80.2923107,39.2567572
"290","Trenton , MI",-83.1782587,42.1394858
"291","Vincennes , IN",-87.5286325,38.677269
"292","Santa Barbara , CA",-119.6981901,34.4208305
"293","East Alton , IL",-90.1112184,38.8803256
"294","Denton , TX",-97.1330683,33.2148412
"295","Sedro-Woolley , WA",-122.2361101,48.50389
"296","New Brunswick , NJ",-74.4518188,40.4862157
"297","Newport News , VA",-76.4730122,37.0870821
"298","Clinton , IL",-88.9645253,40.1536479
"299","Browns Summit , NC",-79.7131567,36.2127803
"300","Ponca , NE",-96.7055917,42.5624971
"301","Leesburg , VA",-77.5636015,39.1156615
"302","Rome , GA",-85.1646726,34.257038
"303","St. Joseph , MO",-94.846681,39.7674578
"304","Woodland Hills , CA",-118.6089752,34.165357
"305","Sebastian , FL",-80.4706078,27.816415
"306","Follansbee , WV",-80.5959065,40.3275693
"307","Kewaunee , WI",-87.5031397,44.4583321
"308","Farmerville , LA",-92.4056985,32.7734728
"309","New Haven , CT",-72.9278835,41.308274
"310","Tecumseh , NE",-96.1957864,40.3667541
"311","NA , NY",-74.0081611,40.732343
"312","San Bernardino , CA",-117.2897652,34.1083449
"313","Farmville , VA",-78.3919401,37.3020965
"314","Modesto , CA",-120.9970014,37.6392595
"315","Humboldt , TN",-88.9158953,35.8197917
"316","Martindale , TX",-97.8408364,29.8454994
"317","Orange , TX",-93.7365549,30.0929879
"318","Snohomish , WA",-122.0981847,47.9128756
"319","Hialeah , FL",-80.2781057,25.8575963
"320","Cleburne , TX",-97.3866837,32.3476438
"321","Ventura , CA",-119.2945199,34.2804923
"322","Marion , IN",-85.6591442,40.5583739
"323","Newnan , GA",-84.7996573,33.3806716
"324","Snake Creek , VA",-80.6491003,36.7156711
"325","South Lake Tahoe , CA",-119.9771868,38.939926
"326","Rochester , MI",-83.1338214,42.680588
"327","Milwaukie , OR",-122.6322812,45.4465305
"328","New Castle , PA",-80.347009,41.0036719
"329","Pisgah , IA",-95.9255655,41.8313769
"330","Albion , CA",-123.7680598,39.2232406
"331","Cranston , RI",-71.4372796,41.7798226
"332","Galveston , TX",-94.7976958,29.3013479
"333","Cleves , OH",-84.749115,39.1617242
"334","Hillsboro , OR",-122.9360906,45.5272177
"335","Frankfort , KY",-84.8732835,38.2009055
"336","Bader , IL",-90.3687351,40.1731015
"337","Orillia , WA",-122.24444,47.44139
"338","Paden , OK",-96.5675136,35.5078486
"339","Barnett , GA",-82.8076402,33.5040235
"340","Choudrant , LA",-92.5143122,32.5301484
"341","Council Bluffs , IA",-95.8608333,41.2619444
"342","Poughkeepsie , NY",-73.9209701,41.7003713
"343","Toledo , IL",-88.2436522,39.2736491
"344","Voorhees , NJ",-74.961517,39.8519447
"345","Fort Smith , AR",-94.3985475,35.3859242
"346","Shawnee , OH",-82.2115368,39.6047915
"347","Herrin , IL",-89.0275744,37.8031056
"348","Strawberry Plains , TN",-83.6860109,36.0631414
"349","Mount Hope , WV",-81.1642682,37.8953906
"350","Pearsall , TX",-99.095033,28.8921939
"351","Palmyra , MI",-83.9532571,41.8598626
"352","Grand Haven , MI",-86.2283864,43.0630734
"353","La Grange , TX",-96.876647,29.9055033
"354","Longview , WA",-122.9381672,46.1381676
"355","Tunstall Station , VA",-77.0962328,37.5748214
"356","Springfield , MO",-93.2922989,37.2089572
"357","Chattahoochee , FL",-84.8429759,30.7051916
"358","Chillicothe , OH",-82.9824019,39.3331197
"359","Bronx , NY",-73.8648268,40.8447819
"360","Joliet , IL",-88.0817251,41.525031
"361","Connellsville , PA",-79.5894828,40.0178522
"362","Easton , MD",-76.0763305,38.7742826
"363","Staples , MN",-94.794844,46.3557159
"364","Knoxville , TN",-83.9207392,35.9606384
"365","Defiance , OH",-84.3557802,41.2844933
"366","Pomona , CA",-117.7499909,34.055103
"367","Blackwood , NJ",-75.0640602,39.8023363
"368","Batesville , MS",-89.9442567,34.3114982
"369","Paw Creek , NC",-80.9301052,35.2788586
"370","West Boylston , MA",-71.785627,42.3667589
"371","Lacona , IA",-93.382989,41.1897188
"372","Sherwood , OR",-122.8402749,45.3563261
"373","Riverside , CA",-117.3754942,33.9806005
"374","Concord , MI",-84.6430206,42.1778187
"375","Luray , VA",-78.4594522,38.665397
"376","Trappe , MD",-76.0579956,38.6584506
"377","Bartow , FL",-81.8431374,27.8964147
"378","Meridian , MS",-88.703656,32.3643098
"379","Davenport , IA",-90.5776367,41.5236437
"380","Bridgeport , CT",-73.1894384,41.1792258
"381","Anderson Island , WA",-122.7087534,47.1610573
"382","Alameda , CA",-122.2821855,37.7798721
"383","Aurora , IN",-84.9013402,39.0570022
"384","La Porte , TX",-95.0193728,29.6657838
"385","San Jose , CA",-121.8863286,37.3382082
"386","Nursery , TX",-97.0969956,28.9225897
"387","Port Townsend , WA",-122.7604471,48.1170387
"388","Pendleton , OR",-118.7885967,45.672075
"389","Lowell , MA",-71.3161718,42.6334247
"390","Woonsocket , RI",-71.5147839,42.0028761
"391","Greenville , OH",-84.6330115,40.1028264
"392","Tazewell , VA",-81.5195548,37.1148374
"393","High Bridge , NJ",-74.8957231,40.6670454
"394","Chadds Ford , PA",-75.5684254,39.8653481
"395","Pinehurst , NC",-79.4694767,35.1954345
"396","Milford , DE",-75.4279748,38.9126129
"397","Newport , KY",-84.4957757,39.091449
"398","Oramel , NY",-78.1355648,42.366177
"399","Carson City , MI",-84.8463945,43.1769772
"400","River Rouge , MI",-83.1343677,42.2733718
"401","Cheverly , MD",-76.915807,38.928167
"402","Calumet , OK",-98.1186665,35.6011602
"403","Huntington Beach , CA",-117.9988026,33.6594835
"404","Billings , MT",-108.5006904,45.7832856
"405","Madison , IN",-85.3799577,38.7358933
"406","Stayton , OR",-122.7945333,44.8006775
"407","Gilreath Mill , SC",-82.2783709,34.9730586
"408","Harford County , MD",-76.3637285,39.5838964
"409","Mount Morgan , KY",-84.1804347,36.7383774
"410","Staten Island , NY",-74.1502007,40.5795317
"411","Lebanon , PA",-76.4113497,40.3409251
"412","Sioux City , IA",-96.4049408,42.4963416
"413","Lancaster , MA",-71.6731242,42.4556452
"414","West Hills , CA",-118.6439809,34.1973122
"415","Weatherford , OK",-98.7075744,35.5261633
"416","Empire , AL",-87.0105552,33.8084373
"417","Danville , PA",-76.6127329,40.96342
"418","Barnesville , GA",-84.1557495,33.0545709
"419","Pacolet Mills , SC",-81.7421232,34.9213452
"420","Jersey City , NJ",-74.0431435,40.7177545
"421","Montebello , CA",-118.1137535,34.0165053
"422","Scottsdale , AZ",-111.9260519,33.4941704
"423","Pierre , SD",-100.3537522,44.3667876
"424","Amesbury , MA",-70.9300376,42.8583925
"425","Hutchinson , KS",-97.9297743,38.0608445
"426","Forest Grove , OR",-123.1211134,45.526998
"427","Ontario , CA",-117.6508876,34.0633443
"428","Simpsonville , SC",-82.2542834,34.7370639
"429","Greenville , SC",-82.3940104,34.8526176
"430","New Town , NY",-72.503144,40.8795449
"431","Takoma Park , MD",-77.0074765,38.9778882
"432","Lavinia , TN",-88.6608897,35.849233
"433","Schenectady , NY",-73.9395687,42.8142432
"434","Millville , PA",-76.5299495,41.120363
"435","Templeton , CA",-120.7060049,35.5496939
"436","Ithaca , NY",-76.5018807,42.4439614
"437","Pine Bluff , AR",-92.0031955,34.2284312
"438","Jamestown , KY",-85.06301,36.9847899
"439","Lost Creek , IN",-97.8396565,30.2816932
"440","Albany , NY",-73.7562317,42.6525793
"441","Bristol , VA",-82.1887368,36.595142
"442","Fort Knox , KY",-85.9652686,37.8836637
"443","Martinsburg , WV",-77.9638869,39.4562099
"444","Revere , MA",-71.0119948,42.4084302
"445","Bakersfield , CA",-119.0187125,35.3732921
"446","Hickory , NC",-81.3444573,35.7344538
"447","Childress , TX",-100.2040019,34.4264529
"448","Wheeling , WV",-80.7209149,40.0639616
"449","Springfield , IL",-89.6501481,39.7817213
"450","Stamford , NY",-74.614318,42.4073024
"451","Clarksburg , WV",-80.3445341,39.2806451
"452","Russell Gulch , CO",-105.5369424,39.7785989
"453","Shakopee , MN",-93.5272861,44.7973962
"454","Washburn , IL",-89.2911972,40.919202
"455","Roanoke Rapids , NC",-77.6541464,36.4615395
"456","Amery , WI",-92.3621369,45.3069062
"457","Ossining , NY",-73.8615246,41.1628731
"458","Longwood , MS",-91.4053008,31.5367919
"459","Fulton , NY",-76.4171585,43.3228462
"460","Perkins , OK",-97.0336417,35.9739448
"461","Linwood , NC",-80.3178305,35.7506938
"462","Forest City , IA",-93.6371937,43.2624685
"463","Danbury , CT",-73.4540111,41.394817
"464","Suggsville , AL",-87.693051,31.5896041
"465","Omaha , NE",-95.9345034,41.2565369
"466","Mount Morris , NY",-77.8741694,42.7256184
"467","Ontario , KS",-95.8822121,39.566662
"468","Buck Valley , PA",-78.2830669,39.7664779
"469","Providence , MO",-92.4054643,38.8375346
"470","Hoxie , KS",-100.441807,39.3575049
"471","Indianapolis , IN",-86.158068,39.768403
"472","Hagerstown , MD",-77.7199932,39.6417629
"473","Fitchburg , MA",-71.8022955,42.5834228
"474","Scranton , PA",-75.6624122,41.408969
"475","Jacksonville , FL",-81.655651,30.3321838
"476","Santa Clara , CA",-121.9552356,37.3541079
"477","Newton , MA",-71.2092214,42.3370413
"478","Evansville , IN",-87.5710898,37.9715592
"479","Cambridge , MA",-71.1097335,42.3736158
"480","Montoursville , PA",-76.9205199,41.2542459
"481","Fort Lauderdale , FL",-80.1373174,26.1224386
"482","Athol , MA",-72.2267383,42.5959329
"483","Port Henry , NY",-73.4598473,44.0483884
"484","Arcadia , CA",-118.0353449,34.1397292
"485","Huntingburg , IN",-86.9549971,38.2989422
"486","San Fernando , CA",-118.4389719,34.2819461
"487","Lynwood , CA",-118.2114603,33.930293
"488","Gray , ME",-70.3317195,43.885632
"489","Hudson , OH",-81.440667,41.240056
"490","St. Marys , WV",-81.2013363,39.3962109
"491","Clarkesville , GA",-83.5248933,34.6125971
"492","Bristol , TN",-82.1887444,36.5951059
"493","Madison , WI",-89.4012302,43.0730517
"494","Susanville , CA",-120.6530063,40.4162842
"495","Meriden , CT",-72.8070435,41.5381535
"496","Medford , OR",-122.8755949,42.3265152
"497","Princeton Junction , NJ",-74.6198791,40.3173301
"498","Berkeley , CA",-122.273042,37.8715226
"499","Newburgh , NY",-74.0104178,41.5034271
"500","Bay City , MI",-83.8888647,43.5944677
"501","Mountain View , CA",-122.0838511,37.3860517
"502","Norwood , OH",-84.4542798,39.1644798
"503","West , TX",-97.0909551,31.8023057
"504","Springfield , VT",-72.4823117,43.2984078
"505","Peoria , IL",-89.5889864,40.6936488
"506","North Platte , NE",-100.7601454,41.1402759
"507","Pfeifer , KS",-99.1656536,38.7080679
"508","Harrisburg , PA",-76.8867008,40.2731911
"509","Buffalo , NY",-78.8783689,42.8864468
"510","Athens , TN",-84.5929898,35.4428512
"511","Rogersville , TN",-83.0054423,36.407317
"512","Macon , GA",-83.6324022,32.8406946
"513","Central Falls , RI",-71.3922785,41.8906553
"514","Charleston , MD",-75.9749456,39.5737254
"515","Lancaster , PA",-76.3055144,40.0378755
"516","Laurel , MS",-89.1306124,31.6940509
"517","Lawton , OK",-98.3959291,34.6035669
"518","Wenham , MA",-70.8911612,42.604261
"519","Fort Sill , OK",-98.4184224,34.5938359
"520","McArthur , OH",-82.4784898,39.2464596
"521","Cleveland , TN",-84.8766115,35.1595182
"522","Downey , CA",-118.1331593,33.9401088
"523","NA , OH",NA,NA
"524","Steubenville , OH",-80.6339638,40.3697905
"525","Mingo Junction , OH",-80.6097962,40.321736
"526","Haddonfield , NJ",-75.0376707,39.8915022
"527","West Bradford , PA",-75.7255192,39.9606653
"528","Grantham , NC",-78.163605,35.297108
"529","Biloxi , MS",-88.8853078,30.3960318
"530","Bailey , TX",-96.1658091,33.4320531
"531","Egg Harbor City , NJ",-74.6479364,39.5287282
"532","Garden Grove , CA",-117.9379952,33.7742692
"533","Townsend , WI",-88.5895515,45.3280231
"534","North Hollywood , CA",-118.3812562,34.187044
"535","Tulsa , OK",-95.992775,36.1539816
"536","Barboursville , WV",-82.2945923,38.4095298
"537","South Pittsburg , TN",-85.7044149,35.0123024
"538","Highland Park , IL",-87.8003437,42.1816918
"539","Midvale , OH",-81.3731674,40.4378434
"540","Queens , NY",-73.7948516,40.7282239
"541","Chippewa Falls , WI",-91.3929348,44.9369054
"542","Pontiac , IL",-88.6297839,40.8808666
"543","Joplin , MO",-94.513281,37.0842271
"544","North Adams , MA",-73.1087148,42.700915
"545","Kokomo , IN",-86.1336033,40.486427
"546","Alexandria , VA",-77.0469214,38.8048355
"547","Beltsville , MD",-76.9074739,39.0348317
"548","Johnstown , PA",-78.9219698,40.3267407
"549","Mansfield , OH",-82.5154471,40.75839
"550","Mullin , TX",-98.6656013,31.5568276
"551","Santa Ana , CA",-117.867653,33.7454725
"552","Anniston , AL",-85.8316318,33.6598257
"553","Lexa , AR",-90.7523336,34.5978775
"554","Woodsboro , MD",-77.314706,39.5331563
"555","Jackson , TN",-88.8139469,35.6145169
"556","Sparta , VA",-77.2302555,37.9918023
"557","Victoria , TX",-97.0035982,28.8052674
"558","Hampton , VA",-76.3452218,37.0298687
"559","Vinita , OK",-95.1541339,36.6386937
"560","Rochester , WI",-88.2242565,42.7414058
"561","Irving , TX",-96.9488945,32.8140177
"562","Decatur , IL",-88.9548001,39.8403147
"563","Commerce , GA",-83.4571057,34.203997
"564","Bassett , CA",-117.9867619,34.0538921
"565","El Dorado , KS",-96.8622524,37.81724
"566","Syracuse , NY",-76.1474244,43.0481221
"567","Spring , TX",-95.4171601,30.0799405
"568","Tiffin , OH",-83.1779746,41.1144992
"569","Aurora , IL",-88.3200715,41.7605849
"570","Havana , IL",-90.0609506,40.3000428
"571","Griffin , GA",-84.2640904,33.2467807
